aoi,aoi_kind,scene,scene_date,zone,lat,lng,ndvi,ndwi,ferric_ratio,clay_ratio,albedo,lst_c,elevation_m,tpi_m,slope_deg,workings_frac,label
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C01,21.868212,80.210224,0.342,-0.424,1.601,1.348,0.105,39.7,305,-1.0,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C02,21.868212,80.213127,0.387,-0.409,1.472,1.471,0.086,37.8,307,-0.3,0.5,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C03,21.868212,80.216031,0.35,-0.433,1.642,1.318,0.101,39.1,310,2.3,0.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C04,21.868212,80.218934,0.332,-0.426,1.76,1.322,0.107,40.9,312,3.4,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C05,21.868212,80.221838,0.249,-0.315,1.617,1.397,0.1,39.2,308,-2.1,0.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C06,21.868212,80.224741,0.31,-0.418,1.706,1.325,0.117,41.9,310,-3.9,0.8,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C07,21.868212,80.227645,0.284,-0.424,1.937,1.291,0.12,44.2,316,-13.7,1.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C08,21.868212,80.230548,0.275,-0.429,1.882,1.351,0.116,41.8,322,-42.1,8.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C09,21.868212,80.233452,0.381,-0.473,1.635,1.577,0.094,36.2,399,13.2,17.2,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C10,21.868212,80.236355,0.4,-0.468,1.466,1.478,0.074,36.2,508,113.6,7.9,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C11,21.868212,80.239259,0.51,-0.529,1.394,1.592,0.055,38.8,455,62.0,13.8,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C12,21.868212,80.242162,0.531,-0.534,1.391,1.694,0.062,39.0,376,-2.0,13.0,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C13,21.868212,80.245066,0.391,-0.478,1.68,1.557,0.088,42.1,323,-21.4,5.6,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C14,21.868212,80.247969,0.365,-0.443,1.605,1.414,0.082,40.6,317,-6.1,1.0,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C15,21.868212,80.250873,0.308,-0.364,1.559,1.424,0.089,40.5,313,-1.0,0.5,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R01C16,21.868212,80.253776,0.292,-0.381,1.657,1.415,0.097,40.4,313,0.7,0.3,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C01,21.865517,80.210224,0.354,-0.425,1.603,1.366,0.097,40.1,305,-0.6,0.1,0.0,0
bharveli,manganese,S2B_MSIL2A_20260313T050649_R019_T44QMK_20260313T091002,2026-03-13,R02C02,21.865517,80.213127,0.434,-0.472,1.471,1.429,0.084,39.0,306,-0.6,0.2,0.0,0
